GFN,FWE,FIA,FWI,USAGE,LANGUAGES
Bitter:normal:400,3,1,4,body,latin+latin-ext
Bitter:normal:700,4,1,3,header,latin+latin-ext
Black And White Picture:normal:400,4,1,2,?,latin+korean
Black Han Sans:normal:400,6,1,3,?,latin+korean
Black Ops One:normal:400,5,1,4,header,latin+latin-ext
Bokor:normal:400,3,1,1,body,khmer
Bonbon:normal:400,2,5,4,header,latin
Boogaloo:normal:400,4,1,2,header,latin
Bowlby One SC:normal:400,8,1,4,header,latin+latin-ext
Bowlby One:normal:400,6,1,4,header,latin
Brawler:normal:400,3,1,4,body,latin
Bree Serif:normal:400,4,1,3,body,latin+latin-ext
Bubblegum Sans:normal:400,4,1,3,header,latin+latin-ext
Bubbler One:normal:400,2,1,2,header,latin+latin-ext
Buda:normal:300,2,1,4,header,latin
Buenard:normal:400,3,1,4,body,latin+latin-ext
Buenard:normal:700,3,1,4,header,latin+latin-ext
Bungee Hairline:normal:400,1,1,4,header,latin+vietnamese+latin-ext
Bungee Inline:normal:400,7,1,3,header,latin+vietnamese+latin-ext
Bungee Outline:normal:400,1,1,3,header,latin+vietnamese+latin-ext
Bungee Shade:normal:400,4,1,3,header,latin+vietnamese+latin-ext
Bungee:normal:400,7,1,3,header,latin+vietnamese+latin-ext
Butcherman:normal:400,5,1,2,header,latin+latin-ext
Butterfly Kids:normal:400,2,1,4,header,latin+latin-ext
Cabin Condensed:normal:400,3,1,3,header,latin+vietnamese+latin-ext
Cabin Condensed:normal:500,4,1,3,header,latin+vietnamese+latin-ext
Cabin Condensed:normal:600,4,1,3,header,latin+vietnamese+latin-ext
Cabin Condensed:normal:700,4,1,3,header,latin+vietnamese+latin-ext
Cabin Sketch:normal:400,2,1,3,body,latin
Cabin Sketch:normal:700,3,1,3,header,latin
Cabin:italic:400,3,4,3,header,latin+vietnamese+latin-ext
Cabin:italic:500,4,4,3,header,latin+vietnamese+latin-ext
Cabin:italic:600,4,4,3,header,latin+vietnamese+latin-ext
Cabin:italic:700,4,4,3,header,latin+vietnamese+latin-ext
Cabin:normal:400,3,1,3,body,latin+vietnamese+latin-ext
Cabin:normal:500,3,1,3,header,latin+vietnamese+latin-ext
Cabin:normal:600,4,1,3,header,latin+vietnamese+latin-ext
Cabin:normal:700,4,1,3,header,latin+vietnamese+latin-ext
Caesar Dressing:normal:400,5,1,2,header,latin
Cagliostro:normal:400,3,1,4,body,latin
Cairo:normal:200,2,1,3,?,latin+latin-ext+arabic
Cairo:normal:300,2,1,3,?,latin+latin-ext+arabic
Cairo:normal:400,3,1,3,?,latin+latin-ext+arabic
Cairo:normal:600,3,1,3,?,latin+latin-ext+arabic
Cairo:normal:700,4,1,3,?,latin+latin-ext+arabic
Cairo:normal:900,5,1,3,?,latin+latin-ext+arabic
Calligraffitti:normal:400,2,6,2,header,latin
Cambay:italic:400,3,4,3,header,latin+latin-ext+devanagari
Cambay:italic:700,3,5,4,header,latin+latin-ext+devanagari
Cambay:normal:400,3,1,3,body,latin+latin-ext+devanagari
Cambay:normal:700,4,1,4,header,latin+latin-ext+devanagari
Cambo:normal:400,3,1,3,body,latin
Candal:normal:400,5,1,4,body,latin
Cantarell:italic:400,2,6,4,header,latin
Cantarell:italic:700,3,6,4,header,latin
Cantarell:normal:400,2,1,4,body,latin
Cantarell:normal:700,3,1,4,header,latin
Cantata One:normal:400,3,1,4,body,latin+latin-ext
Cantora One:normal:400,4,1,3,header,latin+latin-ext
Capriola:normal:400,3,1,4,header,latin+latin-ext
Cardo:italic:400,2,5,4,header,greek+latin+greek-ext+latin-ext
Cardo:normal:400,2,1,4,body,greek+latin+greek-ext+latin-ext
Cardo:normal:700,3,1,4,body,greek+latin+greek-ext+latin-ext
Carme:normal:400,3,1,4,body,latin
Carrois Gothic SC:normal:400,3,1,3,header,latin
Carrois Gothic:normal:400,3,1,3,body,latin
Carter One:normal:400,5,3,3,header,latin
Catamaran:normal:100,2,1,3,body,latin+latin-ext+tamil
Catamaran:normal:200,2,1,3,body,latin+latin-ext+tamil
Catamaran:normal:300,2,1,3,body,latin+latin-ext+tamil
Catamaran:normal:400,3,1,3,body,latin+latin-ext+tamil
Catamaran:normal:500,3,1,3,body,latin+latin-ext+tamil
Catamaran:normal:600,4,1,3,body,latin+latin-ext+tamil
Catamaran:normal:700,4,1,3,body,latin+latin-ext+tamil
Catamaran:normal:800,4,1,3,body,latin+latin-ext+tamil
Catamaran:normal:900,5,1,4,body,latin+latin-ext+tamil
Caudex:italic:400,2,5,4,header,greek+latin+greek-ext+latin-ext
Caudex:italic:700,3,5,4,header,greek+latin+greek-ext+latin-ext
